,type,id,accountId,accountRef,date,description,category,amount,status,matchState,fiData,isReviewed,merchantId,etag,isExpense,isPending,discretionaryType,isLinkedToRule,transactionReviewState,lastUpdatedDate,principalCurrency,interestCurrency,escrowCurrency,parentId,checkNumber
288,CashAndCreditTransaction,75417769_3080646698_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-28,THE MERCHANT PRINCE INC,"{'id': '75417769_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-12.65,POSTED,NOT_MATCHED,"{'id': '202211281747644221105#20221105', 'date': '2022-11-28', 'amount': -12.65, 'description': 'THE MERCHANT PRINCE INC', 'inferredDescription': 'THE MERCHANT PRINCE INC', 'inferredCategory': {'id': '75417769_707', 'name': 'Restaurants'}}",False,1033111835.0,1669720032000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-29T11:07:12Z,,,,,
289,CashAndCreditTransaction,75417769_3080646697_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-28,CIS EVENTS AND CATERING,"{'id': '75417769_7', 'name': 'Food & Dining', 'categoryType': 'EXPENSE', 'parentId': '75417769_0', 'parentName': 'Root'}",-16.78,POSTED,NOT_MATCHED,"{'id': '202211281747524221105#20221105', 'date': '2022-11-28', 'amount': -16.78, 'description': 'CIS EVENTS AND CATERING', 'inferredDescription': 'CIS EVENTS AND CATERING', 'inferredCategory': {'id': '75417769_7', 'name': 'Food & Dining'}}",False,,1669720032000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-29T11:07:12Z,,,,,
290,CashAndCreditTransaction,75417769_3080646694_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-28,CORPORATE FILINGS LLC,"{'id': '75417769_17', 'name': 'Business Services', 'categoryType': 'EXPENSE', 'parentId': '75417769_0', 'parentName': 'Root'}",-9.0,POSTED,NOT_MATCHED,"{'id': '202211281747564221105#20221105', 'date': '2022-11-28', 'amount': -9.0, 'description': 'CORPORATE FILINGS LLC', 'inferredDescription': 'CORPORATE FILINGS LLC', 'inferredCategory': {'id': '75417769_17', 'name': 'Business Services'}}",False,1017014857.0,1669720032000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-29T11:07:12Z,,,,,
291,CashAndCreditTransaction,75417769_3080646693_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-28,P-VILLE INC CARD TRF,"{'id': '75417769_21', 'name': 'Transfer', 'categoryType': 'NO_CATEGORY', 'parentId': '75417769_0', 'parentName': 'Root'}",-13.8,POSTED,NOT_MATCHED,"{'id': '202211281747594221105#20221105', 'date': '2022-11-28', 'amount': -13.8, 'description': 'P-VILLE INC CARD TRF', 'inferredDescription': 'P-VILLE INC CARD TRF', 'inferredCategory': {'id': '75417769_21', 'name': 'Transfer'}}",False,,1669720032000,True,False,NONE,False,UNREVIEWED,2022-11-29T11:07:12Z,,,,,
292,CashAndCreditTransaction,75417769_3080646692_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-28,P-VILLE INC CARD TRF,"{'id': '75417769_21', 'name': 'Transfer', 'categoryType': 'NO_CATEGORY', 'parentId': '75417769_0', 'parentName': 'Root'}",-25.3,POSTED,NOT_MATCHED,"{'id': '202211281747534221105#20221105', 'date': '2022-11-28', 'amount': -25.3, 'description': 'P-VILLE INC CARD TRF', 'inferredDescription': 'P-VILLE INC CARD TRF', 'inferredCategory': {'id': '75417769_21', 'name': 'Transfer'}}",False,,1669720032000,True,False,NONE,False,UNREVIEWED,2022-11-29T11:07:12Z,,,,,
293,CashAndCreditTransaction,75417769_3080646691_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-28,P-VILLE INC CARD TRF,"{'id': '75417769_21', 'name': 'Transfer', 'categoryType': 'NO_CATEGORY', 'parentId': '75417769_0', 'parentName': 'Root'}",-25.3,POSTED,NOT_MATCHED,"{'id': '202211281747624221105#20221105', 'date': '2022-11-28', 'amount': -25.3, 'description': 'P-VILLE INC CARD TRF', 'inferredDescription': 'P-VILLE INC CARD TRF', 'inferredCategory': {'id': '75417769_21', 'name': 'Transfer'}}",False,,1669720032000,True,False,NONE,False,UNREVIEWED,2022-11-29T11:07:12Z,,,,,
294,CashAndCreditTransaction,75417769_3080646690_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-28,SHERWOOD FOREST FOODS,"{'id': '75417769_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-13.2,POSTED,NOT_MATCHED,"{'id': '202211281747654221105#20221105', 'date': '2022-11-28', 'amount': -13.2, 'description': 'SHERWOOD FOREST FOODS', 'inferredDescription': 'SHERWOOD FOREST FOODS', 'inferredCategory': {'id': '75417769_707', 'name': 'Restaurants'}}",False,,1669720032000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-29T11:07:12Z,,,,,
295,CashAndCreditTransaction,75417769_3080646688_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-28,P-VILLE INC CARD TRF,"{'id': '75417769_21', 'name': 'Transfer', 'categoryType': 'NO_CATEGORY', 'parentId': '75417769_0', 'parentName': 'Root'}",-25.3,POSTED,NOT_MATCHED,"{'id': '202211281747634221105#20221105', 'date': '2022-11-28', 'amount': -25.3, 'description': 'P-VILLE INC CARD TRF', 'inferredDescription': 'P-VILLE INC CARD TRF', 'inferredCategory': {'id': '75417769_21', 'name': 'Transfer'}}",False,,1669720032000,True,False,NONE,False,UNREVIEWED,2022-11-29T11:07:12Z,,,,,
296,CashAndCreditTransaction,75417769_3080646687_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-28,P-VILLE INC CARD TRF,"{'id': '75417769_21', 'name': 'Transfer', 'categoryType': 'NO_CATEGORY', 'parentId': '75417769_0', 'parentName': 'Root'}",-13.8,POSTED,NOT_MATCHED,"{'id': '202211281747604221105#20221105', 'date': '2022-11-28', 'amount': -13.8, 'description': 'P-VILLE INC CARD TRF', 'inferredDescription': 'P-VILLE INC CARD TRF', 'inferredCategory': {'id': '75417769_21', 'name': 'Transfer'}}",False,,1669720032000,True,False,NONE,False,UNREVIEWED,2022-11-29T11:07:12Z,,,,,
297,CashAndCreditTransaction,75417769_3080646686_0,75417769_13615882,"{'id': '13615882', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2022-11-28,THE MERCHANT PRINCE INC,"{'id': '75417769_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '75417769_7', 'parentName': 'Food & Dining'}",-12.65,POSTED,NOT_MATCHED,"{'id': '202211281747574221105#20221105', 'date': '2022-11-28', 'amount': -12.65, 'description': 'THE MERCHANT PRINCE INC', 'inferredDescription': 'THE MERCHANT PRINCE INC', 'inferredCategory': {'id': '75417769_707', 'name': 'Restaurants'}}",False,1033111835.0,1669720032000,True,False,DISCRETIONARY,False,UNREVIEWED,2022-11-29T11:07:12Z,,,,,
